"sektor";"nilai_investasi";"periode_update"
"Tanaman Pangan, Perkebunan, dan Peternakan";"0.407457067937";"Triwulan I 2022"
"Kehutanan";"0.022202536336";"Triwulan I 2022"
"Perikanan";"0.0168003535";"Triwulan I 2022"
"Pertambangan";"0.055225966662";"Triwulan I 2022"
"Industri Makanan";"0.351910175423";"Triwulan I 2022"
"Industri Tekstil";"0.055897581788";"Triwulan I 2022"
"Industri Barang dari Kulit dan Alas Kaki";"0.0092667";"Triwulan I 2022"
"Industri Kayu";"0.071936670314";"Triwulan I 2022"
"Industri Kertas dan Percetakan";"0.048373118045";"Triwulan I 2022"
"Industri Kimia Dan Farmasi";"0.064467619936";"Triwulan I 2022"
"Industri Karet dan Plastik";"0.032914528365";"Triwulan I 2022"
"Industri Mineral Non Logam";"0.041905257";"Triwulan I 2022"
"Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya";"0.056393060347";"Triwulan I 2022"
"Industri  Mesin, Elektronik, Instrumen Kedokteran, Peralatan Listrik, Presisi, Optik dan Jam";"0.01957654";"Triwulan I 2022"
"Industri Kendaraan Bermotor dan Alat Transportasi Lain";"0.00698156";"Triwulan I 2022"
"Industri Lainnya";"0.067118503632";"Triwulan I 2022"
"Listrik, Gas dan Air";"0.0188231";"Triwulan I 2022"
"Konstruksi";"0.169433834713";"Triwulan I 2022"
"Perdagangan dan Reparasi";"3.233796279765";"Triwulan I 2022"
"Hotel dan Restoran";"0.599958595946";"Triwulan I 2022"
"Transportasi, Gudang dan Telekomunikasi";"0.333228195712";"Triwulan I 2022"
"Perumahan, Kawasan Industri dan Perkantoran";"37.21674125948";"Triwulan I 2022"
"Jasa Lainnya";"1.238390924934";"Triwulan I 2022"
"";"0.086413329675";"Triwulan I 2022"
"Tanaman Pangan, Perkebunan, dan Peternakan";"0.287459754533";"Triwulan II 2022"
"Kehutanan";"0.01177067645";"Triwulan II 2022"
"Perikanan";"0.009333012";"Triwulan II 2022"
"Pertambangan";"0.03910351";"Triwulan II 2022"
"Industri Makanan";"0.361183064258";"Triwulan II 2022"
"Industri Tekstil";"0.047357375";"Triwulan II 2022"
"Industri Barang dari Kulit dan Alas Kaki";"0.0107298";"Triwulan II 2022"
"Industri Kayu";"0.04997694";"Triwulan II 2022"
"Industri Kertas dan Percetakan";"0.033563789801";"Triwulan II 2022"
"Industri Kimia Dan Farmasi";"0.05966820426";"Triwulan II 2022"
"Industri Karet dan Plastik";"0.02744627";"Triwulan II 2022"
"Industri Mineral Non Logam";"0.024627155";"Triwulan II 2022"
"Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya";"0.04517057";"Triwulan II 2022"
"Industri  Mesin, Elektronik, Instrumen Kedokteran, Peralatan Listrik, Presisi, Optik dan Jam";"0.01663091923";"Triwulan II 2022"
"Industri Kendaraan Bermotor dan Alat Transportasi Lain";"0.011965164";"Triwulan II 2022"
"Industri Lainnya";"0.069062062";"Triwulan II 2022"
"Listrik, Gas dan Air";"0.029183905212";"Triwulan II 2022"
"Konstruksi";"0.115924396144";"Triwulan II 2022"
"Perdagangan dan Reparasi";"2.600847169702";"Triwulan II 2022"
"Hotel dan Restoran";"0.363557241537";"Triwulan II 2022"
"Transportasi, Gudang dan Telekomunikasi";"0.256569569149";"Triwulan II 2022"
"Perumahan, Kawasan Industri dan Perkantoran";"0.35365916865";"Triwulan II 2022"
"Jasa Lainnya";"1.210802494122";"Triwulan II 2022"
"blanks";"0.079711698036";"Triwulan II 2022"
